,10043,00083,10001,10002,10003,10004,10005,10007,10009,10010,10011,10012,10013,10014,10016,10017,10018,10019,10021,10022,10023,10024,10025,10026,10027,10028,10029,10035,10036,10038,10065,10069,10075,10115,10128,10280,10281,10282,11101,11102,11103,11105,11106,11109,11201,11205,11206,11211,11215,11216,11217,11221,11222,11225,11231,11232,11233,11238,11249,11251
0,4.0,155.0,244.0,372.0,440.0,20.0,28.0,52.0,287.0,150.0,287.0,147.0,140.0,188.0,213.0,86.0,91.0,173.0,55.0,82.0,149.0,98.0,103.0,27.0,34.0,68.0,76.0,18.0,150.0,65.0,68.0,6.0,44.0,1.0,79.0,20.0,12.0,4.0,51.0,20.0,13.0,11.0,46.0,2.0,195.0,81.0,32.0,103.0,143.0,61.0,119.0,15.0,90.0,7.0,67.0,1.0,4.0,120.0,77.0,6.0
1,38.0,357.0,1204.0,791.0,1308.0,102.0,200.0,350.0,588.0,596.0,998.0,456.0,478.0,601.0,986.0,1002.0,560.0,1080.0,186.0,474.0,411.0,276.0,221.0,65.0,88.0,135.0,198.0,61.0,765.0,179.0,219.0,22.0,108.0,3.0,170.0,59.0,70.0,54.0,172.0,57.0,24.0,33.0,95.0,6.0,701.0,246.0,96.0,278.0,267.0,113.0,324.0,38.0,236.0,14.0,202.0,7.0,5.0,209.0,214.0,22.0
2,51.0,370.0,1636.0,942.0,1715.0,141.0,236.0,401.0,906.0,744.0,1350.0,625.0,634.0,801.0,1259.0,1179.0,709.0,1403.0,215.0,591.0,558.0,373.0,237.0,84.0,118.0,188.0,230.0,80.0,1014.0,232.0,301.0,25.0,117.0,6.0,223.0,85.0,70.0,73.0,212.0,77.0,35.0,53.0,103.0,8.0,956.0,286.0,131.0,317.0,382.0,135.0,392.0,43.0,335.0,28.0,267.0,14.0,8.0,305.0,257.0,33.0
3,5.0,35.0,125.0,81.0,112.0,10.0,12.0,34.0,102.0,48.0,110.0,42.0,49.0,75.0,87.0,56.0,55.0,107.0,16.0,37.0,56.0,29.0,18.0,7.0,5.0,19.0,27.0,3.0,75.0,21.0,23.0,2.0,8.0,2.0,16.0,8.0,7.0,5.0,17.0,7.0,8.0,4.0,14.0,1.0,85.0,28.0,10.0,25.0,23.0,20.0,34.0,5.0,35.0,3.0,27.0,8.0,1.0,21.0,24.0,3.0
4,8.0,75.0,285.0,266.0,341.0,34.0,43.0,74.0,256.0,144.0,282.0,109.0,144.0,162.0,244.0,197.0,153.0,277.0,31.0,112.0,97.0,56.0,37.0,21.0,22.0,30.0,67.0,21.0,198.0,43.0,42.0,5.0,20.0,2.0,46.0,20.0,23.0,22.0,44.0,18.0,6.0,8.0,37.0,1.0,198.0,71.0,28.0,84.0,62.0,29.0,79.0,12.0,88.0,2.0,55.0,8.0,1.0,57.0,70.0,13.0
5,4.0,68.0,165.0,291.0,332.0,13.0,24.0,53.0,293.0,107.0,280.0,115.0,116.0,165.0,167.0,59.0,70.0,161.0,27.0,69.0,97.0,77.0,56.0,18.0,22.0,39.0,63.0,9.0,117.0,48.0,43.0,10.0,23.0,5.0,43.0,17.0,8.0,5.0,36.0,16.0,6.0,16.0,42.0,5.0,163.0,84.0,39.0,85.0,87.0,43.0,102.0,8.0,83.0,8.0,63.0,8.0,1.0,90.0,56.0,3.0
6,8.0,116.0,278.0,344.0,500.0,11.0,28.0,66.0,322.0,137.0,382.0,173.0,146.0,215.0,164.0,64.0,84.0,202.0,48.0,67.0,162.0,97.0,90.0,36.0,34.0,60.0,90.0,13.0,146.0,49.0,50.0,10.0,25.0,5.0,55.0,26.0,13.0,13.0,58.0,20.0,5.0,15.0,53.0,5.0,235.0,76.0,61.0,112.0,121.0,46.0,129.0,10.0,120.0,13.0,68.0,8.0,2.0,101.0,64.0,7.0
7,21.0,252.0,1075.0,716.0,1112.0,95.0,153.0,266.0,646.0,484.0,874.0,406.0,408.0,497.0,798.0,727.0,468.0,839.0,133.0,362.0,348.0,224.0,165.0,53.0,75.0,112.0,174.0,56.0,663.0,141.0,204.0,15.0,66.0,5.0,140.0,48.0,56.0,54.0,136.0,38.0,20.0,21.0,80.0,5.0,627.0,231.0,103.0,246.0,184.0,96.0,238.0,31.0,264.0,12.0,171.0,8.0,5.0,168.0,180.0,25.0
8,66.0,441.0,1722.0,960.0,1694.0,186.0,242.0,396.0,1013.0,805.0,1417.0,680.0,693.0,936.0,1232.0,1173.0,739.0,1385.0,229.0,608.0,613.0,384.0,246.0,66.0,133.0,167.0,247.0,82.0,979.0,247.0,333.0,23.0,94.0,8.0,207.0,93.0,94.0,100.0,222.0,59.0,28.0,37.0,102.0,11.0,924.0,317.0,141.0,345.0,338.0,146.0,422.0,49.0,349.0,15.0,259.0,12.0,9.0,258.0,278.0,37.0
